username,firstname,lastname,email,auth,cohort1,lang,country,suspended
est264,Nombre264,Apellido264,est264@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est265,Nombre265,Apellido265,est265@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est266,Nombre266,Apellido266,est266@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est267,Nombre267,Apellido267,est267@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est268,Nombre268,Apellido268,est268@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est269,Nombre269,Apellido269,est269@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est270,Nombre270,Apellido270,est270@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est271,Nombre271,Apellido271,est271@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est272,Nombre272,Apellido272,est272@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est273,Nombre273,Apellido273,est273@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est274,Nombre274,Apellido274,est274@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est275,Nombre275,Apellido275,est275@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est276,Nombre276,Apellido276,est276@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est277,Nombre277,Apellido277,est277@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est278,Nombre278,Apellido278,est278@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est279,Nombre279,Apellido279,est279@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est280,Nombre280,Apellido280,est280@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est281,Nombre281,Apellido281,est281@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est282,Nombre282,Apellido282,est282@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est283,Nombre283,Apellido283,est283@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est284,Nombre284,Apellido284,est284@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est285,Nombre285,Apellido285,est285@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est286,Nombre286,Apellido286,est286@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est287,Nombre287,Apellido287,est287@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est288,Nombre288,Apellido288,est288@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est289,Nombre289,Apellido289,est289@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est290,Nombre290,Apellido290,est290@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est291,Nombre291,Apellido291,est291@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est292,Nombre292,Apellido292,est292@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est293,Nombre293,Apellido293,est293@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est294,Nombre294,Apellido294,est294@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est295,Nombre295,Apellido295,est295@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est296,Nombre296,Apellido296,est296@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est297,Nombre297,Apellido297,est297@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est298,Nombre298,Apellido298,est298@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est299,Nombre299,Apellido299,est299@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est300,Nombre300,Apellido300,est300@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
